NUSEQPATR	NUPATRIMONIO	DEPATRIMONIO	CDPROJETO	CDLOCAL	CODOBJETO	CDMATRFUNCIONARIO	SITUACAO	DTAQUISICAO	DTBAIXA	USUARIO	DTOPERACAO
4737	30226	CPU	8	530	151	133838	EM USO	2024-06-28	NULL	BEA.SC	2025-11-17
4738	30227	CPU	8	530	151	133838	EM USO	2024-06-28	NULL	BEA.SC	2025-11-11
4739	30228	CPU	8	530	151	133838	EM USO	2024-06-28	NULL	BEA.SC	2025-11-11
5004	30218	CORTADOR DE PAREDE 1500W 125MM CPW1500 WBR	8	530	514	133838	EM USO	2024-07-01	NULL	RYAN	2024-08-14
5007	4790	CPU	8	530	151	133838	EM USO	NULL	NULL	BEA.SC	2025-10-20
5008	14168	SWITCH WIFI	8	530	523	133838	EM USO	NULL	NULL	BEA.SC	2025-10-29
5009	14169	SWITCH LAN	8	530	524	133838	EM USO	NULL	NULL	BEA.SC	2025-10-29
5010	14170	SWITCH LAN	8	530	524	133838	EM USO	NULL	NULL	BEA.SC	2025-10-29
5011	14178	NO BREAK LABORATORIO	8	530	530	133838	EM USO	NULL	NULL	BEA.SC	2025-10-29
5012	6708	NO BREAK SERVIDORES	8	530	534	133838	EM USO	NULL	NULL	BEA.SC	2025-06-13
5013	14182	SWITCH 24 PORTAS D-LINK	8	530	536	133838	EM USO	NULL	NULL	BEA.SC	2025-06-13
5014	14183	SWITCH 48 PORTAS TP-LINK	8	530	537	133838	EM USO	NULL	NULL	BEA.SC	2025-10-29
5015	4760	SWITCH 20 PORTAS D-NET	8	530	538	133838	EM USO	NULL	NULL	BEA.SC	2025-06-13
5016	14184	SWITCH 8 PORTAS D-NET	8	530	540	133838	EM USO	NULL	NULL	BEA.SC	2025-06-13
5017	14185	SWITCH 16 PORTAS INTELBRAS	8	530	539	133838	EM USO	NULL	NULL	BEA.SC	2025-06-13
5018	14186	ROTEADOR TP LINK	8	530	529	133838	EM USO	NULL	NULL	BEA.SC	2025-10-31
5019	14187	FIREWALL MIKROTIC	8	530	528	133838	EM USO	NULL	NULL	BEA.SC	2025-10-29
5021	14188	FIREWALL MIKROTIC	8	530	528	133838	EM USO	NULL	NULL	BEA.SC	2025-06-13
5022	14190	AR CONDICIONADO SAMSUNG DIGITAL INVERTER	8	530	542	133838	EM USO	NULL	NULL	BEA.SC	2025-06-13
5023	14192	ROTEADOR TP LINK	8	530	529	133838	EM USO	NULL	NULL	BEA.SC	2025-06-13
5024	14194	MONITOR LG	8	530	452	133838	EM USO	NULL	NULL	BEA.SC	2025-10-24
5025	14198	IMPRESSORA HP	8	530	517	133838	EM USO	NULL	NULL	BEA.SC	2025-10-22
5026	14201	ARMARIO BAIXO 2 PORTAS	8	530	251	133838	EM USO	NULL	NULL	BEA.SC	2025-10-22
5027	14202	ARMARIO BAIXO 2 PORTAS	8	530	251	133838	EM USO	NULL	NULL	BEA.SC	2025-06-13
