CDLOCAL	DELOCAL	CODIGO_PROJETO	FLATIVO
515	BAIRRO CEU AZUL	736	0
516	BAIRRO SANTA AMELIA, MG	736	0
517	BAIRRO SANTA MÔNICA	736	0
518	BARONESA	736	0
519	BARREIRO	736	0
520	BARRO PRETO	736	0
521	BELO HORIZONTE	736	0
522	BELO HORIZONTE LESTE	736	0
523	BELVEDERE	736	0
524	BETÂNIA	736	0
525	BETIM	736	0
526	BRUMADINHO	736	0
527	BURITIS	736	0
528	CAETE	736	0
529	CALAFATE	736	0
530	CANAAN	736	0
531	CAPELA NOVA	736	0
532	CARMO - SION	736	0
533	CEFET	736	0
534	CELSO FURTADO	736	0
535	CONGONHAS	736	0
536	CONSELHEIRO LAFAIETE	736	0
537	CONTAGEM	736	0
538	CORAÇÃO EUCARÍSTICO	736	0
539	DEPARTAMENTO DA POLICIA FEDERAL	736	0
540	ESMERALDAS	736	0
541	FACULDADE DE ENGENHARIA	736	0
542	FLORESTA,MG	736	0
543	GUAJAJARAS	736	0
544	HORTO FLORESTAL , MG	736	0
545	IBIRITÉ	736	0
546	IGARAPÉ	736	0
547	IMPERADOR, MG	736	0
548	INCONFIDÊNCIA, MG	736	0
549	ITABIRITO	736	0
550	ITACOLOMI	736	0
551	JARDIM CANADÁ	736	0
552	JARDIM INDUSTRIAL	736	0
553	JOÃO GUIMARÃES ROSA	736	0
554	JOAQUIM DE OLIVEIRA	736	0
555	JOSE ALENCAR (CORACAO DE JESUS)	736	0
556	JUSTIÇA FEDERAL DE BELO HORIZONTE	736	0
557	JUSTINOPOLIS	736	0
558	LAGOA DO NADO	736	0
559	LAGOA SANTA	736	0
560	LIMPEZA SOB DEMANDA	736	0
561	LOURDES	736	0
562	LUXEMBURGO	736	0
563	MANGABEIRAS	736	0
564	MANUTENCAO CREDITOS HABITACIONAIS - CEHMA	736	0
565	MARIANA	736	0
566	MATOZINHOS	736	0
567	MINAS SHOPPING,MG	736	0
568	MINAS TÊNIS	736	0
569	NOVA LIMA	736	0
570	OLEGARIO MACIEL	736	0
571	OURO BRANCO	736	0
572	OURO PRETO	736	0
573	PACTO	736	0
574	PADRE EUSTÁQUIO	736	0
575	PAMPULHA	736	0
576	PARC ROYAL	736	0
577	PEDRO LEOPOLDO	736	0
578	PORTAL DOS SERTÕES	736	0
579	PREFEITURA MUNICIPAL DE BETIM	736	0
580	PRESIDENTE JK	736	0
581	RAJA GABAGLIA	736	0
582	RENASCENÇA, MG	736	0
583	RESSACA	736	0
584	RIBEIRÃO DAS NEVES	736	0
585	SABARA	736	0
586	SALGADO FILHO	736	0
587	SANTA EFIGÊNIA	736	0
588	SANTA LUZIA	736	0
589	SANTO AGOSTINHO	736	0
590	SANTO ANTÔNIO	736	0
591	SÃO CAETANO	736	0
592	SÃO JOAQUIM DE BICAS	736	0
593	SÃO JOSÉ DA LAPA	736	0
594	SARZEDO	736	0
595	SAVASSI	736	0
596	SÉCULO	736	0
597	SERRA DE SANTA HELENA	736	0
598	SESC, MG	736	0
599	SETE LAGOAS	736	0
600	SHOPPING CIDADE	736	0
601	SHOPPING DEL REY	736	0
602	SHOPPING ESTAÇÃO	736	0
603	SHOPPING MONTE CARMO	736	0
604	SINFRONIO BROCHADO	736	0
605	SISTEMA FIEMG	736	0
606	TCE MG	736	0
607	TRT 3ª REGIÃO BELO HORIZONTE	736	0
608	TRT CONTAGEM	736	0
609	TRT JUSTIÇA TRABALHO BELO HORIZONTE	736	0
610	UFMG	736	0
611	UFOP	736	0
612	VALE VERDE	736	0
613	VARA DO TRABALHO CONGONHAS	736	0
614	VAREJO DIGITAL BELO HORIZONTE - PRÉDIO HORTO	736	0
615	VENDA NOVA	736	0
616	VESPASIANO	736	0
617	VILA RICA	736	0
618	VINTE E UM DE ABRIL	736	0
619	ALPINÓPOLIS FÓRUM	773	0
620	BORDA DA MATA FÓRUM	773	0
621	BRAZÓPOLIS FÓRUM	773	0
622	BUENO BRANDÃO FÓRUM	773	0
623	CABO VERDE FÓRUM	773	0
624	CAMANDUCAIA FÓRUM	773	0
625	CAMPOS GERAIS FÓRUM	773	0
626	CANDEIAS FÓRUM	773	0
627	CARMO DO RIO CLARO FÓRUM	773	0
628	CRISTINA FÓRUM	773	0
629	EXTREMA FÓRUM	773	0
630	GUARANÉSIA FÓRUM	773	0
631	ITAJUBÁ FÓRUM CÍVEL	773	0
632	ITAJUBÁ FÓRUM CRIMINAL/ JESP	773	0
633	ITAMOGI FÓRUM	773	0
634	PEDRALVA FÓRUM	773	0
635	POUSO ALEGRE FÓRUM	773	0
636	SÃO GONÇALO DO SAPUCAÍ FÓRUM	773	0
637	SILVIANÓPOLIS FÓRUM	773	0
638	GUAXUPÉ FÓRUM	773	0
639	NATÉRCIA FÓRUM	773	0
640	TRÊS PONTAS FÓRUM	773	0
641	AIURUOCA FÓRUM	773	0
642	ANDRELÂNDIA FÓRUM	773	0
643	AREADO FÓRUM	773	0
644	BAEPENDI FÓRUM	773	0
645	BOM SUCESSO FÓRUM	773	0
646	CACHOEIRA DE MINAS FÓRUM	773	0
647	CALDAS FÓRUM	773	0
648	CAMBUÍ FÓRUM	773	0
649	CAMBUQUIRA FÓRUM	773	0
650	CAMPANHA FÓRUM	773	0
651	CAMPESTRE FÓRUM	773	0
652	CAMPO BELO FÓRUM	773	0
653	CARMO DE MINAS FÓRUM	773	0
654	CÁSSIA FÓRUM/JESP	773	0
655	CAXAMBU FÓRUM	773	0
656	CONCEIÇÃO DO RIO VERDE FÓRUM	773	0
657	GUAPÉ FÓRUM	773	0
658	IBIRACI FÓRUM	773	0
659	ITAMONTE FÓRUM	773	0
660	ITANHANDU FÓRUM	773	0
661	ITUMIRIM FÓRUM	773	0
662	JACUÍ FÓRUM	773	0
663	LAMBARI FÓRUM	773	0
664	LAVRAS FÓRUM	773	0
665	LAVRAS JESP	773	0
666	MACHADO FÓRUM	773	0
667	MONTE BELO FÓRUM	773	0
668	MONTE SANTO DE MINAS FÓRUM	773	0
669	MUZAMBINHO FÓRUM	773	0
670	NEPOMUCENO FÓRUM	773	0
671	PARAGUAÇU FÓRUM/JESP	773	0
672	PARAISÓPOLIS FÓRUM	773	0
673	PASSA-QUATRO FÓRUM	773	0
674	PASSOS FÓRUM	773	0
675	PERDÕES FÓRUM	773	0
676	POÇO FUNDO FÓRUM	773	0
677	PRATÁPOLIS FÓRUM	773	0
678	SANTA RITA DE CALDAS FÓRUM	773	0
679	SANTA RITA DO SAPUCAÍ FÓRUM	773	0
680	SÃO LOURENÇO FÓRUM	773	0
681	SÃO SEBASTIÃO DO PARAÍSO FÓRUM	773	0
682	SÃO SEBASTIÃO DO PARAÍSO ARQUIVO/ POLO REGIONAL DE SAÚDE	773	0
683	TRÊS CORAÇÕES FÓRUM / ARQUIVO/JESP	773	0
684	VARGINHA FÓRUM E JESP	773	0
685	BOA ESPERANÇA FÓRUM/ARQUIVO	773	0
686	NOVA RESENDE FÓRUM	773	0
687	ALFENAS FÓRUM	773	0
688	ANDRADAS FÓRUM	773	0
689	BOTELHOS FÓRUM	773	0
690	CRUZÍLIA FÓRUM	773	0
